posicion,indice,keyword,vertical,tipo_keyword
703,11569,boxeo,Deporte y Fitness,modelo_producto
704,5894,logitech m720,Electro y Tecno,categoria_generica
705,1316,cafetera gadnic,Electro y Tecno,categoria_marca
706,8635,heladera patrick side by side,Electro y Tecno,modelo_producto
707,8004,roku ultra,Electro y Tecno,categoria_generica
708,6958,peluche star wars,Bebes y Niños,categoria_generica
709,7451,sillon baulera,"Muebles, Hogar y Deco",categoria_generica
710,11798,montura para caño de gas 1/2,Electro y Tecno,modelo_producto
711,10820,ventilador inalambrico,Electro y Tecno,categoria_atributo
712,11693,sony god of war ragnarok fisico,Electro y Tecno,modelo_producto
713,10488,mavic 3 cine,Electro y Tecno,categoria_generica
714,4500,pista de autos duravit,Bebes y Niños,modelo_producto
715,4458,the ordinary acido salicilico,Salud y Belleza,modelo_producto
716,9263,sommier gani 2 plazas,"Muebles, Hogar y Deco",modelo_producto
717,10079,funda samsung s22 ultra,Electro y Tecno,modelo_producto
718,893,cámara de seguridad,Electro y Tecno,categoria_generica
719,3923,bicicleta kawasaki,Deporte y Fitness,categoria_generica
720,9380,copas de vino,"Muebles, Hogar y Deco",categoria_generica
721,9541,shampoo para foliculitis,Salud y Belleza,categoria_generica
722,8699,motorola earbuds 2-s,Electro y Tecno,modelo_producto
723,8006,samsung celular,Electro y Tecno,categoria_marca
724,1448,nintendo switch dehuka,Electro y Tecno,categoria_generica
725,1739,samsung galaxy s21 plus,Electro y Tecno,modelo_producto
726,11380,cubierta 2.75 17 trasera,Autos y Motos,modelo_producto
727,6052,pistola masajeadora profesional,Salud y Belleza,categoria_atributo
728,4078,freezer neba f310,Electro y Tecno,categoria_generica
729,11736,soundcore liberty air 2 pro,Electro y Tecno,modelo_producto
730,7513,aire acondicionado hitachi 3200 inverter,Electro y Tecno,categoria_atributo
731,8512,juguete desmalezadora omaha,Bebes y Niños,categoria_generica
732,12945,bacha plastica,"Muebles, Hogar y Deco",categoria_generica
733,5899,calefon lorenzetti,Electro y Tecno,categoria_generica
734,4091,cava de vinos vondom,Electro y Tecno,modelo_producto
735,5006,mesa de arrime para cama,"Muebles, Hogar y Deco",modelo_producto
736,9242,talle 41,Indumentaria y Calzado,categoria_generica
737,12128,moto g13 difuso,Electro y Tecno,categoria_generica
738,12376,lg on2d,Electro y Tecno,modelo_producto
739,12241,business tv samsung,Electro y Tecno,categoria_marca
740,7480,perfume first,Salud y Belleza,categoria_generica
741,2040,iphone micrófono de solapa,Electro y Tecno,modelo_producto
742,8059,cpu exo,Electro y Tecno,categoria_generica
743,6859,biblioteca organizador,"Muebles, Hogar y Deco",categoria_generica
744,9802,rueditas para bici rodado 12,Deporte y Fitness,categoria_atributo
745,2566,jbl xtreme 3,Electro y Tecno,modelo_producto
746,7906,batidora planetaria cuk,Electro y Tecno,categoria_generica
747,160,motorola g22,Electro y Tecno,modelo_producto
748,6148,tcl smart tv,Electro y Tecno,categoria_atributo
749,4875,mixer minipimer,Electro y Tecno,categoria_generica
750,7435,sábanas de una plaza,"Muebles, Hogar y Deco",modelo_producto
751,4513,corralitos,Bebes y Niños,modelo_producto
752,4459,carolina herrera clasico mujer,Salud y Belleza,modelo_producto
753,377,juguete moto scooter,Bebes y Niños,categoria_generica
754,6657,impresora hp 3775,Electro y Tecno,modelo_producto
755,6386,set de crochet,"Muebles, Hogar y Deco",categoria_generica
756,9334,termómetro de cocina profesional,"Muebles, Hogar y Deco",categoria_atributo
757,10720,dx 110,Electro y Tecno,categoria_generica
758,262,motorola one vision,Electro y Tecno,categoria_marca
759,3924,guantes venum,Deporte y Fitness,categoria_generica
760,7793,funda para samsung a23,Electro y Tecno,modelo_producto
761,9497,cepillo secador teknikpro,Salud y Belleza,categoria_generica
762,6692,aspiradora pektra,Electro y Tecno,categoria_generica
763,11946,heladera whirlpool frost free,Electro y Tecno,modelo_producto
764,5921,articulos de limpieza,"Muebles, Hogar y Deco",categoria_generica
765,4356,cocina de 2 hornallas con horno,Electro y Tecno,modelo_producto
766,10616,vsg singularity,Electro y Tecno,categoria_generica
767,2054,pimentero electrico,Electro y Tecno,categoria_atributo
768,10135,cobertor aire acondicionado exterior,Electro y Tecno,modelo_producto
769,6823,vasos de vidrio durax,"Muebles, Hogar y Deco",modelo_producto
770,1021,gtx 1050,Electro y Tecno,categoria_generica
771,7697,galaxy tab s8 ultra,Electro y Tecno,modelo_producto
772,529,motorola signature,Electro y Tecno,categoria_marca
773,4776,nokia 1 plus,Electro y Tecno,categoria_generica
774,9661,juguete bitty boomers,Bebes y Niños,categoria_generica
775,9331,respaldo 2 plazas,"Muebles, Hogar y Deco",categoria_generica
776,12018,auriculares lenovo lp40 pro,Electro y Tecno,modelo_producto
777,9538,deep red,Salud y Belleza,categoria_generica
778,2588,xbox noga auriculares,Electro y Tecno,categoria_generica
779,3545,samsung adaptador de auriculares,Electro y Tecno,modelo_producto
780,8350,carry on cabina,Indumentaria y Calzado,categoria_generica
781,7866,eskabe acquapiu a4,Electro y Tecno,categoria_generica
782,4502,peavey bandit 112,Autos y Motos,categoria_generica
783,2419,samsung a02s,Electro y Tecno,modelo_producto
784,7527,carpa coleman 4 personas,Deporte y Fitness,modelo_producto
785,9218,mochila capea de colgar,Indumentaria y Calzado,modelo_producto
786,3331,espejo con aumento,"Muebles, Hogar y Deco",categoria_generica
787,9332,placard 120 x 180,"Muebles, Hogar y Deco",modelo_producto
788,4291,batidor electrico,Electro y Tecno,categoria_atributo
789,141,dispenser de agua,Electro y Tecno,categoria_generica
790,558,samsung galaxy a10s,Electro y Tecno,modelo_producto
791,9627,figura funko freddie mercury,Bebes y Niños,modelo_producto
792,9520,masajeador de pies de madera,Salud y Belleza,modelo_producto
793,7950,sandwichera electrica liliana,Electro y Tecno,categoria_marca
794,2840,soporte para tv 32,Electro y Tecno,modelo_producto
795,9886,lectores y scanners,Electro y Tecno,categoria_generica
796,8845,max you m6,Deporte y Fitness,categoria_generica
797,7843,caja de agua vereda,Electro y Tecno,modelo_producto
798,9572,ferrari bateria,Bebes y Niños,categoria_generica
799,8055,pochoclera dulce,Electro y Tecno,categoria_generica
800,11178,silla milan,"Muebles, Hogar y Deco",categoria_generica
801,4467,missoni pour homme,Salud y Belleza,categoria_generica
802,10340,licuadora liliana con molinillo,Electro y Tecno,modelo_producto
803,7281,tostadora westinghouse,Electro y Tecno,categoria_generica
804,5600,caja de herramientas black decker,"Muebles, Hogar y Deco",modelo_producto
805,12318,samsung au7000 65,Electro y Tecno,modelo_producto
806,11868,heladera sigma 365 litros,Electro y Tecno,categoria_atributo
807,4156,mouse pad xl,Electro y Tecno,categoria_generica
808,620,apple pencil,Electro y Tecno,categoria_marca
809,10076,side by side philco,Electro y Tecno,modelo_producto
810,2122,gatitos explosivos,"Muebles, Hogar y Deco",categoria_generica
811,8764,impresora epson l3110,Electro y Tecno,categoria_generica
812,7322,rotoorbital,Electro y Tecno,modelo_producto
813,10292,lg gram 16,Electro y Tecno,modelo_producto
814,53,moto e7,Electro y Tecno,categoria_generica
815,1098,maletin de maquillaje,Salud y Belleza,categoria_generica
816,3403,juguete pistola gadnic,Salud y Belleza,categoria_marca
817,9733,juguete muñeca maricela,Bebes y Niños,categoria_generica
818,3801,modular de melamina,"Muebles, Hogar y Deco",categoria_generica
819,12043,xbox series s fortnite,Electro y Tecno,modelo_producto
820,9093,robot para armar,Electro y Tecno,categoria_generica
821,6368,almohada de espuma viscoelástica,"Muebles, Hogar y Deco",modelo_producto
822,3054,colchoneta plegable,Deporte y Fitness,categoria_atributo
823,10623,noblex ee24x4000,Electro y Tecno,modelo_producto
824,7107,turbo ventilador atma,Electro y Tecno,categoria_marca
825,3604,dongle bluetooth,Electro y Tecno,categoria_atributo
826,10937,mochila camuflada,Indumentaria y Calzado,categoria_generica
827,9074,botella con sorbete,Electro y Tecno,categoria_generica
828,9582,juguete power rangers dino fury zords,Bebes y Niños,modelo_producto
829,8748,planchita y secador de pelo gama,Salud y Belleza,modelo_producto
830,8061,noblex 75,Electro y Tecno,modelo_producto
831,5540,cafetera oryx,Electro y Tecno,categoria_generica
832,11071,mega construx pokemon,"Muebles, Hogar y Deco",categoria_generica
833,8567,cars mini racers,Deporte y Fitness,categoria_generica
834,7074,hp notebook 2 en 1,Electro y Tecno,modelo_producto
835,12061,thunderobot 911 air,Electro y Tecno,categoria_generica
836,10895,reloj casio f 91ws hombre,Electro y Tecno,modelo_producto
837,5113,ajo envejecido,Salud y Belleza,categoria_generica
838,9310,cuadro de ducha fv,"Muebles, Hogar y Deco",modelo_producto
839,12464,anteojos para eclipse,Electro y Tecno,categoria_generica
840,9109,samsung qn85q70aagczb,Electro y Tecno,modelo_producto
841,6940,juguete practicuna bebitos,Bebes y Niños,categoria_generica
842,10643,exprimidor electrolux,Electro y Tecno,categoria_marca
843,1908,ponchera de vidrio,"Muebles, Hogar y Deco",categoria_generica
844,4521,control remoto one for all,Electro y Tecno,modelo_producto
845,7232,tv pioneer,Electro y Tecno,categoria_generica
846,3226,bordeadora eléctrica,Electro y Tecno,categoria_atributo
847,10185,reloj de pared 30 cm,Electro y Tecno,modelo_producto
848,24,hornitos electricos,Electro y Tecno,categoria_generica
849,12188,ventilador crivel de pared,Electro y Tecno,modelo_producto
850,12886,sillon gota,"Muebles, Hogar y Deco",categoria_generica
851,10331,impresora epson l1300,Electro y Tecno,categoria_generica
852,6062,lenovo yoga tab 11,Electro y Tecno,modelo_producto
853,2696,luteina y zeaxantina,Salud y Belleza,categoria_generica
854,7374,bachas para cocina de acero inoxidable,"Muebles, Hogar y Deco",modelo_producto
855,4793,ott tv box,Electro y Tecno,categoria_generica
856,6738,philips multiprocesadora,Electro y Tecno,categoria_marca
857,2366,philco aspiradora para tapizados,Electro y Tecno,modelo_producto
858,4575,bolso paletero adidas,Deporte y Fitness,categoria_marca
859,539,juguete hamaca paraguaya,Bebes y Niños,categoria_generica
860,7999,dinosaurio robot,Electro y Tecno,categoria_generica
861,9585,juguete jurassic world dominion mattel,Bebes y Niños,modelo_producto
862,8995,gadnic cp170,Salud y Belleza,modelo_producto
863,1984,drean gold blue 8.6,Electro y Tecno,modelo_producto
864,2207,cargador portátil para celular,Electro y Tecno,categoria_atributo
865,2451,piletas inflables,"Muebles, Hogar y Deco",categoria_generica
866,637,jbl boombox 3,Electro y Tecno,modelo_producto
867,2,freidoras,Electro y Tecno,categoria_generica
868,8572,max you s1,Deporte y Fitness,categoria_generica
869,11589,amazfit gts 2 mini,Deporte y Fitness,modelo_producto
870,4958,mochila discovery,Indumentaria y Calzado,categoria_generica
871,8665,telefono inalambrico motorola m700,Electro y Tecno,modelo_producto
872,319,ducha escocesa,Electro y Tecno,categoria_generica
873,4361,liston led bajo alacena,"Muebles, Hogar y Deco",modelo_producto
874,12997,giesso puro naturaleza,Salud y Belleza,categoria_generica
875,6355,colchon princess cannon,"Muebles, Hogar y Deco",categoria_generica
876,12501,lenovo he05,Electro y Tecno,modelo_producto
877,183,climatizador midea,Electro y Tecno,categoria_marca
878,8942,cafetera winco express,Electro y Tecno,categoria_generica
879,6127,licuadora liliana jarra vidrio,Electro y Tecno,modelo_producto
880,2892,logitech f710,Electro y Tecno,categoria_generica
881,11816,horno electrico white westinghouse,Electro y Tecno,categoria_atributo
882,118,planchas,Electro y Tecno,modelo_producto
883,11496,muñeca barbie pileta,Bebes y Niños,categoria_generica
884,11089,liston led interconectable,"Muebles, Hogar y Deco",categoria_generica
885,7265,auriculares i12,Electro y Tecno,categoria_generica
886,10094,licuadora oster pica hielo,Electro y Tecno,modelo_producto
887,8413,gps tracker,Autos y Motos,categoria_generica
888,9288,combo termo y mate stanley,"Muebles, Hogar y Deco",modelo_producto
889,3188,aspiradora sin bolsa,Electro y Tecno,categoria_generica
890,6651,dell latitude 5520,Electro y Tecno,modelo_producto
891,8887,lg microondas espejado,Electro y Tecno,categoria_marca
892,2139,prada l'homme,Salud y Belleza,categoria_generica
893,8694,lavavajillas samsung 14 cubiertos,Electro y Tecno,modelo_producto
894,5281,jirafa de basquet,Electro y Tecno,categoria_generica
895,6396,baulera placard,"Muebles, Hogar y Deco",categoria_generica
896,10230,samsung a04e funda,Electro y Tecno,modelo_producto
897,3856,cochecitos,Bebes y Niños,modelo_producto
898,2697,ultraflex,Salud y Belleza,modelo_producto
899,5220,ipad 8va generacion,Electro y Tecno,categoria_generica
900,1393,banqueta plegable,Deporte y Fitness,categoria_atributo
901,11756,guitarra electrica epiphone special 2,Electro y Tecno,categoria_atributo
902,8615,secarropas drean wind s 5.5,Electro y Tecno,modelo_producto
903,2907,freezer exhibidor,Electro y Tecno,categoria_generica
904,2738,lijadora de banco,Deporte y Fitness,categoria_generica
905,8532,lego avengers endgame,Bebes y Niños,categoria_generica
906,6150,balanza digital de precision,Electro y Tecno,modelo_producto
907,10910,repuesto mochila ferrum andina,Indumentaria y Calzado,modelo_producto
908,5081,cama baul,"Muebles, Hogar y Deco",categoria_generica
909,201,dormitorio,"Muebles, Hogar y Deco",modelo_producto
910,3600,caloventor pared,Electro y Tecno,categoria_generica
911,5063,cocina longvie,Electro y Tecno,categoria_marca
912,4093,dell latitude 7420,Electro y Tecno,modelo_producto
913,8877,oximetro san up,Salud y Belleza,categoria_generica
914,3036,kelvinator aire acondicionado,Electro y Tecno,categoria_generica
915,5757,lg heladera de acero inoxidable,Electro y Tecno,modelo_producto
916,4332,lunchera chimola,Indumentaria y Calzado,categoria_generica
917,831,heladera philco side by side,Electro y Tecno,modelo_producto
918,2866,stylus pen,Electro y Tecno,categoria_generica
919,5536,barral de ducha,"Muebles, Hogar y Deco",categoria_generica
920,5314,memoria ram drr4 hyperx fury,Electro y Tecno,categoria_atributo
921,12774,level up silla gamer,"Muebles, Hogar y Deco",categoria_atributo
922,945,bomba elevadora de agua,Electro y Tecno,modelo_producto
923,12449,climatizador vont,Electro y Tecno,categoria_generica
924,11009,mesa de pino con 4 sillas,"Muebles, Hogar y Deco",modelo_producto
925,10164,waflera yelmo 3 en 1,Electro y Tecno,modelo_producto
926,10666,ventilador midea,Electro y Tecno,categoria_marca
927,6479,wolverine marvel legends,Bebes y Niños,categoria_generica
928,5844,botella discovery,Electro y Tecno,categoria_generica
929,9379,bifera carol,"Muebles, Hogar y Deco",categoria_generica
930,10876,reloj inteligente smartwatch xinji n1,Electro y Tecno,modelo_producto
931,9496,perfume ibiza hombre,Salud y Belleza,categoria_generica
932,3205,babyliss planchita,Electro y Tecno,categoria_generica
933,2494,juguete monopatin gadnic,Bebes y Niños,categoria_marca
934,11964,parlante panacom sp 3060,Electro y Tecno,modelo_producto
935,3381,pelelas,Bebes y Niños,modelo_producto
936,1924,stronger with you absolutely,Salud y Belleza,modelo_producto
937,12350,sky elite t10,Electro y Tecno,categoria_generica
938,1355,cocina whirlpool wfx57di,Electro y Tecno,modelo_producto
939,9114,exprimidor electrico,Electro y Tecno,categoria_atributo
940,9437,pileta con luces,"Muebles, Hogar y Deco",categoria_generica
941,1970,slp 100 pro,Deporte y Fitness,categoria_generica
942,10788,akaso v50x,Electro y Tecno,categoria_generica
943,1826,lg k52,Electro y Tecno,modelo_producto
944,10967,sabanas 200 hilos 2 plazas,"Muebles, Hogar y Deco",modelo_producto
945,2591,notebook hp pavilion,Electro y Tecno,categoria_marca
946,71,redmi 14c,Electro y Tecno,modelo_producto
947,5895,cuaderno mooving,Electro y Tecno,categoria_generica
948,5692,bolso head deportivo,Bebes y Niños,categoria_generica
949,9954,iphone 11 pro max green,Electro y Tecno,modelo_producto
950,9179,gabinete exo,Electro y Tecno,categoria_generica
951,3043,kit de distribución gol trend,Deporte y Fitness,modelo_producto
952,6424,cortizone 10,Salud y Belleza,categoria_generica
953,10646,olla sarten,"Muebles, Hogar y Deco",categoria_generica
954,3163,jbl partybox 1000,Electro y Tecno,modelo_producto
955,12157,tostadora harry potter,Electro y Tecno,categoria_generica
956,10083,tv philco 42 pulgadas,Electro y Tecno,modelo_producto
957,1210,compresor de aire portatil,Electro y Tecno,categoria_atributo
958,2106,valija de herramientas,Indumentaria y Calzado,categoria_generica
959,5400,mesa de plástico rectangular,"Muebles, Hogar y Deco",modelo_producto
960,9022,celular admiral,Electro y Tecno,categoria_generica
961,7822,batidora moulinex planetaria,Electro y Tecno,categoria_marca
962,2350,tcl mini led 65,Electro y Tecno,modelo_producto
963,6817,protector termico argan,"Muebles, Hogar y Deco",categoria_generica
964,4219,fary home,Electro y Tecno,categoria_generica
965,8201,cocina volcan 55 cm,Electro y Tecno,modelo_producto
966,1135,redmi 11,Electro y Tecno,modelo_producto
967,771,lavarropas carga frontal,Electro y Tecno,categoria_generica
968,11260,aspiradores de secreciones,Salud y Belleza,categoria_generica
969,9633,perchero infantil montessori,Bebes y Niños,categoria_generica
970,11421,peluche happy nappers de unicornio,Bebes y Niños,modelo_producto
971,11678,planchita de pelo gama elegance led bella tourmaline,Salud y Belleza,modelo_producto
972,1759,xiaomi watch 2 pro,Electro y Tecno,modelo_producto
973,3318,termo stanley mate,"Muebles, Hogar y Deco",categoria_marca
974,9367,repuesto termo atom,"Muebles, Hogar y Deco",categoria_generica
975,2256,capsulas nescafe,Electro y Tecno,categoria_generica
976,3729,juego de vajilla 30 piezas,"Muebles, Hogar y Deco",modelo_producto
977,5454,extractor de baño 6 pulgadas,Electro y Tecno,categoria_atributo
978,2796,philips ambilight 75,Electro y Tecno,modelo_producto
979,10247,lg tv celular,Electro y Tecno,categoria_marca
980,3430,bicicleta tomaselli rodado 26,Deporte y Fitness,categoria_atributo
981,11468,juguete sit fit,Deporte y Fitness,categoria_generica
982,6288,epson l850,Electro y Tecno,categoria_generica
983,952,iphone 16e,Electro y Tecno,modelo_producto
984,12144,home aire acondicionado,Electro y Tecno,categoria_generica
985,8165,bolsos materos,"Muebles, Hogar y Deco",categoria_generica
986,10456,tablet bgh q10,Electro y Tecno,modelo_producto
987,12421,stereo targa,Electro y Tecno,categoria_generica
988,8623,dell all in one core i5,Electro y Tecno,modelo_producto
989,2482,tensiómetro manual,Salud y Belleza,categoria_generica
990,1131,macbook air m5,Electro y Tecno,categoria_generica
991,2723,ametralladora de juguete,Bebes y Niños,categoria_generica
992,8961,heladera con freezer columbia,Electro y Tecno,modelo_producto
993,6910,auto dinosaurio,Autos y Motos,categoria_generica
994,12764,manguera led 10 metros,"Muebles, Hogar y Deco",modelo_producto
995,3562,horno electrico longvie,Electro y Tecno,categoria_marca
996,5629,tender mor,"Muebles, Hogar y Deco",categoria_generica
997,10150,termotanque a gas 23 litros,Electro y Tecno,categoria_atributo
998,5180,noblex radio reloj despertador carrefour,Electro y Tecno,modelo_producto
999,8994,tcl l9+,Electro y Tecno,categoria_generica
1000,4628,horno electrico bgh 30 litros,Electro y Tecno,modelo_producto
1001,10837,corsair 570x,Electro y Tecno,categoria_generica
1002,12683,zapatillas montagne crossland,Indumentaria y Calzado,categoria_generica
1003,2845,samsung lentes 3d,Electro y Tecno,modelo_producto
1004,12499,aiwa t2010,Electro y Tecno,categoria_generica
1005,2957,bombon ferrero rocher,"Muebles, Hogar y Deco",categoria_generica
1006,9995,monitor samsung 23 pulgadas,Electro y Tecno,modelo_producto
1007,8032,planchita westinghouse,Salud y Belleza,categoria_generica
1008,3867,estacion de servicio duravit,Bebes y Niños,modelo_producto
1009,2994,masajeador de pies gadnic,Salud y Belleza,modelo_producto
1010,7304,noblex auriculares,Electro y Tecno,categoria_marca
1011,2835,roku express 4k,Electro y Tecno,categoria_generica
1012,901,cocina,"Muebles, Hogar y Deco",modelo_producto
1013,11924,ventilador de pie liliana vp20p,Electro y Tecno,modelo_producto
1014,3423,guitarra de juguete,Bebes y Niños,categoria_generica
1015,9619,aire acondicionado sanyo inverter,Electro y Tecno,categoria_atributo
1016,3051,majirel tintura,Deporte y Fitness,categoria_generica
1017,10540,moto g9 play,Electro y Tecno,categoria_generica
1018,9895,batidora kitchenaid heavy duty 6 9 lts,Electro y Tecno,modelo_producto
1019,4498,gato hidraulico 2 toneladas,Autos y Motos,modelo_producto
1020,9345,inodoro dual roca,"Muebles, Hogar y Deco",categoria_generica
1021,9550,bateria samsung j2 core,Electro y Tecno,modelo_producto
1022,2919,cable trs,Electro y Tecno,categoria_generica
1023,11728,motorola edge 30 ultra bundle,Electro y Tecno,modelo_producto
1024,4208,balanza de mano,Electro y Tecno,categoria_generica
1025,1438,samsung a25 5g,Electro y Tecno,modelo_producto
1026,4086,hp notebook ram,Electro y Tecno,categoria_marca
1027,2575,tensiometro digital aspen,Salud y Belleza,categoria_generica
1028,12639,escolar mochila carrito nena,Indumentaria y Calzado,modelo_producto
1029,8253,farol led recargable,"Muebles, Hogar y Deco",categoria_generica
1030,4358,placard platinum 6 puertas,"Muebles, Hogar y Deco",modelo_producto
1031,8026,licuadora y picadora,Electro y Tecno,categoria_generica
1032,10507,mouse con cable usb,Electro y Tecno,modelo_producto
1033,3015,aire acondicionado inverter 5000 frigorias,Electro y Tecno,categoria_atributo
1034,8566,inflador para rifle pcp,Deporte y Fitness,modelo_producto
1035,5862,freidora westinghouse,Electro y Tecno,categoria_generica
1036,12123,camara sony zv1,Electro y Tecno,modelo_producto
1037,11480,muñeca barbie look,Bebes y Niños,categoria_generica
1038,10862,consola noga,Electro y Tecno,categoria_generica
1039,3329,juego simon,"Muebles, Hogar y Deco",categoria_generica
1040,4728,asus vivobook i5,Electro y Tecno,modelo_producto
1041,9149,bañera de hielo,Electro y Tecno,categoria_generica
1042,11685,estación de acoplamiento ultra delgada de hp 2013,Electro y Tecno,modelo_producto
1043,6466,aire acondicionado peabody,Electro y Tecno,categoria_marca
1044,5597,colchon 1 40 x 1 90,"Muebles, Hogar y Deco",modelo_producto
1045,3905,juguete huevito de bebe,Bebes y Niños,modelo_producto
1046,3822,baño de crema loreal,Salud y Belleza,modelo_producto
1047,6877,chic carolina herrera,Salud y Belleza,categoria_generica
1048,11701,samsung galaxy funda note 10 plus,Electro y Tecno,modelo_producto
1049,182,carteras de mujer,Indumentaria y Calzado,categoria_generica
1050,4923,cafetera comercial,Electro y Tecno,categoria_generica
1051,4438,inodoro cuadrado,"Muebles, Hogar y Deco",categoria_generica
1052,8752,aire portatil philco 3500,Electro y Tecno,modelo_producto
1053,3448,valijas wilson,Deporte y Fitness,categoria_generica
1054,10019,tablet exo 7 pulgadas,Electro y Tecno,categoria_atributo
1055,2862,ninja licuadora,Electro y Tecno,categoria_generica
1056,8875,tablet philco tp10f,Electro y Tecno,modelo_producto
1057,10537,monopatin electrico razor,Deporte y Fitness,categoria_atributo
1058,2381,galaxy watch 5,Electro y Tecno,categoria_generica
1059,7417,crazy ice,Bebes y Niños,categoria_generica
1060,2025,xiaomi 14 ultra,Electro y Tecno,modelo_producto
1061,5033,tender con calor,"Muebles, Hogar y Deco",categoria_generica
1062,7167,pava electrica moulinex,Electro y Tecno,categoria_marca
1063,9137,a3 celular,Electro y Tecno,categoria_generica
1064,7377,tapa de inodoro de madera laqueada,"Muebles, Hogar y Deco",modelo_producto
1065,90,lavavajillas,Electro y Tecno,modelo_producto
1066,5101,perfume charlie revlon,Salud y Belleza,categoria_generica
1067,10753,reproductor de cd,Electro y Tecno,categoria_generica
1068,123,motorola g23,Electro y Tecno,modelo_producto
1069,3692,desfribilador,Electro y Tecno,modelo_producto
1070,8098,zorra transporte,Electro y Tecno,categoria_generica
1071,8667,cafetera embolo 1 litro,Electro y Tecno,categoria_atributo
1072,4383,sillas apilables reforzadas,"Muebles, Hogar y Deco",categoria_generica
1073,3494,termotanque longvie 110 litros,Electro y Tecno,modelo_producto
1074,8870,xbox noga drifter,Electro y Tecno,categoria_generica
1075,179,philco tostadora electrica,Electro y Tecno,categoria_marca
1076,10447,samsung 22 pulgadas,Electro y Tecno,modelo_producto
1077,11543,figura cuphead funko,Bebes y Niños,categoria_generica
1078,9458,vajillero,"Muebles, Hogar y Deco",modelo_producto
1079,3916,amazfit gtr mini,Electro y Tecno,categoria_generica
1080,9267,muñeca barbie silla de ruedas,Bebes y Niños,modelo_producto
1081,8346,gubias para torno de madera,Salud y Belleza,modelo_producto
1082,6097,heladera kohinoor no frost duocooling,Electro y Tecno,modelo_producto
1083,351,cesto de basura,"Muebles, Hogar y Deco",categoria_generica
1084,10562,caloventor bkf,Electro y Tecno,categoria_generica
1085,10493,planchita gama marula,Salud y Belleza,categoria_generica
1086,1555,tv noblex 58 pulgadas,Electro y Tecno,modelo_producto
1087,7644,banco pesas,Deporte y Fitness,categoria_generica
1088,9230,mochila lenovo,Indumentaria y Calzado,categoria_marca
1089,6337,pileta mor 3000 litros,"Muebles, Hogar y Deco",categoria_atributo
1090,5877,beone tablet,Electro y Tecno,categoria_generica
1091,7794,termotanque electrico plano,Electro y Tecno,categoria_atributo
1092,12075,samsung galaxy de a33,Electro y Tecno,modelo_producto
1093,6795,mochila conservadora,Indumentaria y Calzado,categoria_generica
1094,11114,bote inflable bestway,"Muebles, Hogar y Deco",categoria_generica
1095,2398,celular nubia music,Electro y Tecno,categoria_generica
1096,10134,horno a gas empotrable longvie,Electro y Tecno,modelo_producto
1097,2196,cafetera cuk gadnic,Electro y Tecno,categoria_marca
1098,1899,plantas artificiales de interior,"Muebles, Hogar y Deco",modelo_producto
1099,6266,moto 110,Autos y Motos,categoria_generica
1100,4036,motorola edge 30 neo,Electro y Tecno,modelo_producto
1101,7880,patriot viper steel,Electro y Tecno,categoria_generica
1102,9744,muñeco lol boys,Bebes y Niños,categoria_generica
1103,3506,samsung galaxy core prime,Electro y Tecno,modelo_producto
1104,10369,nintendo galaxy videojuego,Electro y Tecno,categoria_generica
1105,3356,ultraviolet paco rabanne,Salud y Belleza,categoria_generica
1106,12941,flamenco inflable,"Muebles, Hogar y Deco",categoria_generica
1107,6552,capsulas dolce gusto recargables,Electro y Tecno,modelo_producto
1108,5861,soldadora de mano,Electro y Tecno,categoria_generica
1109,2621,aspiradora electrica,Electro y Tecno,categoria_atributo
1110,924,sony god of war 4,Electro y Tecno,modelo_producto
1111,10773,calefon longvie,Electro y Tecno,categoria_marca
1112,4210,microondas kelvinator,Electro y Tecno,categoria_generica
1113,6146,estabilizador elevador de tension,Electro y Tecno,modelo_producto
1114,5013,caja de herramientas bosch,"Muebles, Hogar y Deco",modelo_producto
1115,12947,travel quencher,"Muebles, Hogar y Deco",categoria_generica
1116,2155,carpa para 4 personas,Deporte y Fitness,modelo_producto
1117,4907,mouse havit,Electro y Tecno,categoria_generica
1118,12024,samsung galaxy a04 green,Electro y Tecno,modelo_producto
1119,9405,life de los simpsons,Bebes y Niños,modelo_producto
1120,8362,secador de pelo perros,Salud y Belleza,modelo_producto
1121,3124,horno pastelero 6 moldes,Electro y Tecno,modelo_producto
1122,1875,redragon zeus,Electro y Tecno,categoria_generica
1123,7573,juguete desplazador inodoro,Bebes y Niños,categoria_generica
1124,1172,spicebomb extreme,Salud y Belleza,categoria_generica
1125,7646,atomik niña,Deporte y Fitness,categoria_generica
1126,11662,samsung galaxy a24,Electro y Tecno,modelo_producto
1127,10756,botella yeti,Electro y Tecno,categoria_generica
1128,8102,tocador escritorio,"Muebles, Hogar y Deco",categoria_generica
1129,8972,mesa plegable notebook,Electro y Tecno,categoria_atributo
1130,1855,tablet philco,Electro y Tecno,categoria_marca
1131,6601,samsung s7 fe,Electro y Tecno,modelo_producto
1132,2019,mouse logitech g305,Electro y Tecno,categoria_generica
1133,8244,cuchillos y tenedores tramontina,"Muebles, Hogar y Deco",modelo_producto
1134,5460,maquina de pastas philips,Electro y Tecno,modelo_producto
1135,914,bicicleta rodado 26 mujer,Deporte y Fitness,categoria_atributo
1136,9125,a3 plus,Electro y Tecno,categoria_generica
1137,8150,mochila de shopkins,Indumentaria y Calzado,categoria_generica
1138,7726,lenovo ideapad flex 5,Electro y Tecno,modelo_producto
